,file_path,label
0,/home/estudiante/music-genre-classification-master/datasets/train_spec/3/mel_spectrogram_mix_1053.npy,3
1,/home/estudiante/music-genre-classification-master/datasets/train_spec/8/mel_spectrogram_mix_340.npy,8
2,/home/estudiante/music-genre-classification-master/datasets/train_spec/6/mel_spectrogram_mix_926.npy,6
3,/home/estudiante/music-genre-classification-master/datasets/train_spec/1/mel_spectrogram_mix_414.npy,1
4,/home/estudiante/music-genre-classification-master/datasets/train_spec/7/mel_spectrogram_mix_639.npy,7
5,/home/estudiante/music-genre-classification-master/datasets/train_spec/6/mel_spectrogram_mix_1197.npy,6
6,/home/estudiante/music-genre-classification-master/datasets/train_spec/6/mel_spectrogram_mix_1181.npy,6
7,/home/estudiante/music-genre-classification-master/datasets/train_spec/8/mel_spectrogram_mix_579.npy,8
8,/home/estudiante/music-genre-classification-master/datasets/train_spec/5/mel_spectrogram_mix_282.npy,5
9,/home/estudiante/music-genre-classification-master/datasets/train_spec/5/mel_spectrogram_mix_660.npy,5
10,/home/estudiante/music-genre-classification-master/datasets/train_spec/4/mel_spectrogram_mix_119.npy,4
11,/home/estudiante/music-genre-classification-master/datasets/train_spec/8/mel_spectrogram_mix_635.npy,8
12,/home/estudiante/music-genre-classification-master/datasets/train_spec/9/mel_spectrogram_mix_1277.npy,9
13,/home/estudiante/music-genre-classification-master/datasets/train_spec/1/mel_spectrogram_mix_704.npy,1
14,/home/estudiante/music-genre-classification-master/datasets/train_spec/5/mel_spectrogram_mix_1223.npy,5
15,/home/estudiante/music-genre-classification-master/datasets/train_spec/7/mel_spectrogram_mix_30.npy,7
16,/home/estudiante/music-genre-classification-master/datasets/train_spec/9/mel_spectrogram_mix_549.npy,9
17,/home/estudiante/music-genre-classification-master/datasets/train_spec/7/mel_spectrogram_mix_972.npy,7
18,/home/estudiante/music-genre-classification-master/datasets/train_spec/10/mel_spectrogram_mix_288.npy,10
19,/home/estudiante/music-genre-classification-master/datasets/train_spec/7/mel_spectrogram_mix_1056.npy,7
20,/home/estudiante/music-genre-classification-master/datasets/train_spec/8/mel_spectrogram_mix_468.npy,8
21,/home/estudiante/music-genre-classification-master/datasets/train_spec/1/mel_spectrogram_mix_371.npy,1
22,/home/estudiante/music-genre-classification-master/datasets/train_spec/4/mel_spectrogram_mix_1007.npy,4
23,/home/estudiante/music-genre-classification-master/datasets/train_spec/5/mel_spectrogram_mix_1192.npy,5
24,/home/estudiante/music-genre-classification-master/datasets/train_spec/7/mel_spectrogram_mix_1031.npy,7
25,/home/estudiante/music-genre-classification-master/datasets/train_spec/3/mel_spectrogram_mix_591.npy,3
26,/home/estudiante/music-genre-classification-master/datasets/train_spec/8/mel_spectrogram_mix_95.npy,8
27,/home/estudiante/music-genre-classification-master/datasets/train_spec/1/mel_spectrogram_mix_1168.npy,1
28,/home/estudiante/music-genre-classification-master/datasets/train_spec/2/mel_spectrogram_mix_1009.npy,2
29,/home/estudiante/music-genre-classification-master/datasets/train_spec/7/mel_spectrogram_mix_1241.npy,7
30,/home/estudiante/music-genre-classification-master/datasets/train_spec/10/mel_spectrogram_mix_1014.npy,10
31,/home/estudiante/music-genre-classification-master/datasets/train_spec/6/mel_spectrogram_mix_1026.npy,6
32,/home/estudiante/music-genre-classification-master/datasets/train_spec/8/mel_spectrogram_mix_1030.npy,8
33,/home/estudiante/music-genre-classification-master/datasets/train_spec/5/mel_spectrogram_mix_1042.npy,5
34,/home/estudiante/music-genre-classification-master/datasets/train_spec/8/mel_spectrogram_mix_15.npy,8
35,/home/estudiante/music-genre-classification-master/datasets/train_spec/2/mel_spectrogram_mix_1173.npy,2
36,/home/estudiante/music-genre-classification-master/datasets/train_spec/1/mel_spectrogram_mix_1015.npy,1
37,/home/estudiante/music-genre-classification-master/datasets/train_spec/8/mel_spectrogram_mix_1032.npy,8
38,/home/estudiante/music-genre-classification-master/datasets/train_spec/3/mel_spectrogram_mix_1257.npy,3
39,/home/estudiante/music-genre-classification-master/datasets/train_spec/4/mel_spectrogram_mix_839.npy,4
40,/home/estudiante/music-genre-classification-master/datasets/train_spec/8/mel_spectrogram_mix_814.npy,8
41,/home/estudiante/music-genre-classification-master/datasets/train_spec/8/mel_spectrogram_mix_561.npy,8
42,/home/estudiante/music-genre-classification-master/datasets/train_spec/6/mel_spectrogram_mix_707.npy,6
43,/home/estudiante/music-genre-classification-master/datasets/train_spec/2/mel_spectrogram_mix_371.npy,2
44,/home/estudiante/music-genre-classification-master/datasets/train_spec/10/mel_spectrogram_mix_58.npy,10
45,/home/estudiante/music-genre-classification-master/datasets/train_spec/7/mel_spectrogram_mix_1158.npy,7
46,/home/estudiante/music-genre-classification-master/datasets/train_spec/3/mel_spectrogram_mix_69.npy,3
47,/home/estudiante/music-genre-classification-master/datasets/train_spec/9/mel_spectrogram_mix_187.npy,9
48,/home/estudiante/music-genre-classification-master/datasets/train_spec/8/mel_spectrogram_mix_345.npy,8
49,/home/estudiante/music-genre-classification-master/datasets/train_spec/5/mel_spectrogram_mix_599.npy,5
50,/home/estudiante/music-genre-classification-master/datasets/train_spec/2/mel_spectrogram_mix_280.npy,2
51,/home/estudiante/music-genre-classification-master/datasets/train_spec/5/mel_spectrogram_mix_1259.npy,5
52,/home/estudiante/music-genre-classification-master/datasets/train_spec/7/mel_spectrogram_mix_139.npy,7
53,/home/estudiante/music-genre-classification-master/datasets/train_spec/10/mel_spectrogram_mix_1263.npy,10
54,/home/estudiante/music-genre-classification-master/datasets/train_spec/10/mel_spectrogram_mix_522.npy,10
55,/home/estudiante/music-genre-classification-master/datasets/train_spec/4/mel_spectrogram_mix_492.npy,4
56,/home/estudiante/music-genre-classification-master/datasets/train_spec/10/mel_spectrogram_mix_681.npy,10
57,/home/estudiante/music-genre-classification-master/datasets/train_spec/5/mel_spectrogram_mix_516.npy,5
58,/home/estudiante/music-genre-classification-master/datasets/train_spec/4/mel_spectrogram_mix_321.npy,4
59,/home/estudiante/music-genre-classification-master/datasets/train_spec/2/mel_spectrogram_mix_482.npy,2
